,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-27,-375902.7639170368,-1042121.7074875605,45253.345254295215,-375902.7639170368,-375902.7639170368,-127393.87790026702,-127393.87790026702,-127393.87790026702,-77490.38069567362,-77490.38069567362,-77490.38069567362,-49903.497204593405,-49903.497204593405,-49903.497204593405,0.0,0.0,0.0,-503296.64181730384
1,2020-03-30,-360367.00943049864,-1008381.2385110488,84569.94234651614,-360367.00943049864,-360367.00943049864,-99918.3731801337,-99918.3731801337,-99918.3731801337,-87642.03535343596,-87642.03535343596,-87642.03535343596,-12276.33782669774,-12276.33782669774,-12276.33782669774,0.0,0.0,0.0,-460285.38261063234
2,2020-03-31,-355188.42460165254,-994324.4067864155,105178.560302196,-355188.42460165254,-355188.42460165254,-80042.69127003448,-80042.69127003448,-80042.69127003448,-81127.27119448458,-81127.27119448458,-81127.27119448458,1084.579924450097,1084.579924450097,1084.579924450097,0.0,0.0,0.0,-435231.115871687
3,2020-04-01,-350009.8397728064,-1062661.414448222,119627.10763374342,-350009.8397728064,-350009.8397728064,-103064.2549229119,-103064.2549229119,-103064.2549229119,-117870.77078891767,-117870.77078891767,-117870.77078891767,14806.515866005755,14806.515866005755,14806.515866005755,0.0,0.0,0.0,-453074.09469571826
4,2020-04-02,-344831.25494396035,-945144.7265649653,153734.20215560042,-344831.25494396035,-344831.25494396035,-65124.85539191165,-65124.85539191165,-65124.85539191165,-93981.1310451839,-93981.1310451839,-93981.1310451839,28856.275653272238,28856.275653272238,28856.275653272238,0.0,0.0,0.0,-409956.110335872
5,2020-04-03,-339652.67011511425,-921109.9080848689,175660.9276190154,-339652.67011511425,-339652.67011511425,-34293.851823515986,-34293.851823515986,-34293.851823515986,-77490.38069571932,-77490.38069571932,-77490.38069571932,43196.52887220334,43196.52887220334,43196.52887220334,0.0,0.0,0.0,-373946.52193863026
6,2020-04-06,-324116.91562857607,-882524.940518238,189888.40800115015,-324116.91562857607,-324116.91562857607,-133.83801187352992,-133.83801187352992,-133.83801187352992,-87642.03535390708,-87642.03535390708,-87642.03535390708,87508.19734203356,87508.19734203356,87508.19734203356,0.0,0.0,0.0,-324250.7536404496
7,2020-04-07,-318938.33079972997,-865011.00772266,243488.0363114947,-318938.33079972997,-318938.33079972997,21400.770360033508,21400.770360033508,21400.770360033508,-81127.27119441322,-81127.27119441322,-81127.27119441322,102528.04155444674,102528.04155444674,102528.04155444674,0.0,0.0,0.0,-297537.5604396965
8,2020-04-08,-313759.7459708839,-865764.330139053,253037.84455681493,-313759.7459708839,-313759.7459708839,-304.95970798543294,-304.95970798543294,-304.95970798543294,-117870.77078894577,-117870.77078894577,-117870.77078894577,117565.81108096034,117565.81108096034,117565.81108096034,0.0,0.0,0.0,-314064.70567886933
9,2020-04-13,-287866.82182665344,-708183.9996571267,364655.25978099706,-287866.82182665344,-287866.82182665344,102617.69974051265,102617.69974051265,102617.69974051265,-87642.03535387696,-87642.03535387696,-87642.03535387696,190259.73509438962,190259.73509438962,190259.73509438962,0.0,0.0,0.0,-185249.1220861408
10,2020-04-14,-282688.2369978074,-714864.1647521586,380930.1503265568,-282688.2369978074,-282688.2369978074,122560.62539181321,122560.62539181321,122560.62539181321,-81127.27119434185,-81127.27119434185,-81127.27119434185,203687.89658615508,203687.89658615508,203687.89658615508,0.0,0.0,0.0,-160127.61160599417
11,2020-04-15,-277509.6521689613,-739329.7306688735,354263.22202480683,-277509.6521689613,-277509.6521689613,98662.87805242698,98662.87805242698,98662.87805242698,-117870.7707889458,-117870.7707889458,-117870.7707889458,216533.64884137278,216533.64884137278,216533.64884137278,0.0,0.0,0.0,-178846.77411653433
12,2020-04-16,-272331.06734011526,-680259.110088257,397509.2894547575,-272331.06734011526,-272331.06734011526,134727.52081508146,134727.52081508146,134727.52081508146,-93981.13104512135,-93981.13104512135,-93981.13104512135,228708.65186020278,228708.65186020278,228708.65186020278,0.0,0.0,0.0,-137603.5465250338
13,2020-04-17,-267152.4825112691,-634897.5995554044,451921.0778782136,-267152.4825112691,-267152.4825112691,162639.0261938963,162639.0261938963,162639.0261938963,-77490.38069523936,-77490.38069523936,-77490.38069523936,240129.4068891357,240129.4068891357,240129.4068891357,0.0,0.0,0.0,-104513.4563173728
14,2020-04-20,-251616.72802473092,-591544.7392958406,472488.0343932992,-251616.72802473092,-251616.72802473092,181504.97045292627,181504.97045292627,181504.97045292627,-87642.0353540974,-87642.0353540974,-87642.0353540974,269147.00580702367,269147.00580702367,269147.00580702367,0.0,0.0,0.0,-70111.75757180466
15,2020-04-21,-246438.14319588483,-586652.8908793292,489650.1314546768,-246438.14319588483,-246438.14319588483,195756.610949269,195756.610949269,195756.610949269,-81127.27119450869,-81127.27119450869,-81127.27119450869,276883.8821437777,276883.8821437777,276883.8821437777,0.0,0.0,0.0,-50681.532246615825
16,2020-04-22,-241259.55836703876,-600359.0071802316,505749.26694770757,-241259.55836703876,-241259.55836703876,165720.67570844395,165720.67570844395,165720.67570844395,-117870.77078897391,-117870.77078897391,-117870.77078897391,283591.44649741787,283591.44649741787,283591.44649741787,0.0,0.0,0.0,-75538.88265859481
17,2020-04-23,-236080.97353819266,-602016.4639066884,492643.22788782,-236080.97353819266,-236080.97353819266,195273.98761846832,195273.98761846832,195273.98761846832,-93981.13104520141,-93981.13104520141,-93981.13104520141,289255.11866366974,289255.11866366974,289255.11866366974,0.0,0.0,0.0,-40806.985919724335
18,2020-04-24,-230902.38870934656,-579670.8212522431,525613.2285880093,-230902.38870934656,-230902.38870934656,216386.19916861327,216386.19916861327,216386.19916861327,-77490.38069528506,-77490.38069528506,-77490.38069528506,293876.57986389834,293876.57986389834,293876.57986389834,0.0,0.0,0.0,-14516.189540733292
19,2020-04-27,-215366.63422280835,-552962.2705914871,566214.7038738449,-215366.63422280835,-215366.63422280835,214113.67960636047,214113.67960636047,214113.67960636047,-87642.03535341792,-87642.03535341792,-87642.03535341792,301755.71495977836,301755.71495977836,301755.71495977836,0.0,0.0,0.0,-1252.9546164478816
20,2020-04-28,-210188.04939396225,-556775.5570532068,599127.0221108425,-210188.04939396225,-210188.04939396225,221431.21678313895,221431.21678313895,221431.21678313895,-81127.2711944373,-81127.2711944373,-81127.2711944373,302558.48797757627,302558.48797757627,302558.48797757627,0.0,0.0,0.0,11243.167389176699
21,2020-04-29,-205009.46456511616,-551737.9607823244,522025.0131817502,-205009.46456511616,-205009.46456511616,184702.62828492408,184702.62828492408,184702.62828492408,-117870.77078894583,-117870.77078894583,-117870.77078894583,302573.3990738699,302573.3990738699,302573.3990738699,0.0,0.0,0.0,-20306.836280192074
22,2020-04-30,-199830.8797362701,-601710.0087814776,536851.9755860929,-199830.8797362701,-199830.8797362701,207913.66834513904,207913.66834513904,207913.66834513904,-93981.13104510735,-93981.13104510735,-93981.13104510735,301894.7993902464,301894.7993902464,301894.7993902464,0.0,0.0,0.0,8082.788608868956
23,2020-05-04,-179116.54042088575,-500188.9371160088,591678.9394276246,-179116.54042088575,-179116.54042088575,206809.6696990997,206809.6696990997,206809.6696990997,-87642.03535363835,-87642.03535363835,-87642.03535363835,294451.705052738,294451.705052738,294451.705052738,0.0,0.0,0.0,27693.12927821395
24,2020-05-05,-173937.9555453085,-522041.59743823577,614267.2509187544,-173937.9555453085,-173937.9555453085,210875.908353004,210875.908353004,210875.908353004,-81127.27119436594,-81127.27119436594,-81127.27119436594,292003.17954736995,292003.17954736995,292003.17954736995,0.0,0.0,0.0,36937.95280769549
25,2020-05-06,-168759.37066973114,-573985.301781729,514665.3194300169,-168759.37066973114,-168759.37066973114,171687.3330133181,171687.3330133181,171687.3330133181,-117870.77078897395,-117870.77078897395,-117870.77078897395,289558.1038022921,289558.1038022921,289558.1038022921,0.0,0.0,0.0,2927.962343586958
26,2020-05-07,-163580.78579415387,-530194.6187226968,583085.9748265815,-163580.78579415387,-163580.78579415387,193246.54929821918,193246.54929821918,193246.54929821918,-93981.13104518745,-93981.13104518745,-93981.13104518745,287227.6803434066,287227.6803434066,287227.6803434066,0.0,0.0,0.0,29665.76350406531
27,2020-05-08,-158402.20091857656,-515552.48923677753,615922.7111853068,-158402.20091857656,-158402.20091857656,207623.40746871012,207623.40746871012,207623.40746871012,-77490.38069576857,-77490.38069576857,-77490.38069576857,285113.78816447867,285113.78816447867,285113.78816447867,0.0,0.0,0.0,49221.20655013356
28,2020-05-11,-142866.44629184465,-497168.3969945151,595634.9512328166,-142866.44629184465,-142866.44629184465,193254.03251501708,193254.03251501708,193254.03251501708,-87642.03535360817,-87642.03535360817,-87642.03535360817,280896.0678686253,280896.0678686253,280896.0678686253,0.0,0.0,0.0,50387.58622317243
29,2020-05-12,-137687.86141626735,-503763.6874408106,604833.8412132146,-137687.86141626735,-137687.86141626735,199266.19024709734,199266.19024709734,199266.19024709734,-81127.27119441809,-81127.27119441809,-81127.27119441809,280393.4614415154,280393.4614415154,280393.4614415154,0.0,0.0,0.0,61578.328830829996
30,2020-05-13,-132509.27654069004,-535524.8873752372,610250.8913000638,-132509.27654069004,-132509.27654069004,162524.08018168766,162524.08018168766,162524.08018168766,-117870.77078893864,-117870.77078893864,-117870.77078893864,280394.8509706263,280394.8509706263,280394.8509706263,0.0,0.0,0.0,30014.80364099762
