,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-03-27,-433077.7090723416,-1160734.1594834535,-36250.90853116525,-433077.7090723416,-433077.7090723416,-146217.8340830884,-146217.8340830884,-146217.8340830884,-87975.92613050078,-87975.92613050078,-87975.92613050078,-58241.90795258764,-58241.90795258764,-58241.90795258764,0.0,0.0,0.0,-579295.54315543
1,2020-03-30,-415954.3166705523,-1082309.9924121122,74465.46223983867,-415954.3166705523,-415954.3166705523,-112956.96614997889,-112956.96614997889,-112956.96614997889,-98442.44012260184,-98442.44012260184,-98442.44012260184,-14514.526027377047,-14514.526027377047,-14514.526027377047,0.0,0.0,0.0,-528911.2828205312
2,2020-03-31,-410246.5192032892,-1076981.0233584077,61497.97418209156,-410246.5192032892,-410246.5192032892,-91235.45330678852,-91235.45330678852,-91235.45330678852,-92136.68751317325,-92136.68751317325,-92136.68751317325,901.2342063847395,901.2342063847395,901.2342063847395,0.0,0.0,0.0,-501481.9725100777
3,2020-04-01,-404538.7217360261,-1095773.2828246339,39657.38588653232,-404538.7217360261,-404538.7217360261,-112458.22672014685,-112458.22672014685,-112458.22672014685,-129116.65511643069,-129116.65511643069,-129116.65511643069,16658.428396283824,16658.428396283824,16658.428396283824,0.0,0.0,0.0,-516996.94845617295
4,2020-04-02,-398830.92426876305,-1062056.8512778468,144305.75762656573,-398830.92426876305,-398830.92426876305,-72883.21295729441,-72883.21295729441,-72883.21295729441,-105589.15136367272,-105589.15136367272,-105589.15136367272,32705.938406378315,32705.938406378315,32705.938406378315,0.0,0.0,0.0,-471714.1372260575
5,2020-04-03,-393123.1268014999,-997244.0925528784,96816.33838317858,-393123.1268014999,-393123.1268014999,-38986.76721707411,-38986.76721707411,-38986.76721707411,-87975.92613054666,-87975.92613054666,-87975.92613054666,48989.15891347255,48989.15891347255,48989.15891347255,0.0,0.0,0.0,-432109.89401857404
6,2020-04-06,-375999.7343997106,-930423.7309963929,225792.4455530587,-375999.7343997106,-375999.7343997106,202.1705251552386,202.1705251552386,202.1705251552386,-98442.44012312537,-98442.44012312537,-98442.44012312537,98644.61064828062,98644.61064828062,98644.61064828062,0.0,0.0,0.0,-375797.56387455534
7,2020-04-07,-370291.93693244754,-897222.4959928471,232992.74623001541,-370291.93693244754,-370291.93693244754,23102.567865679852,23102.567865679852,23102.567865679852,-92136.68751309166,-92136.68751309166,-92136.68751309166,115239.2553787715,115239.2553787715,115239.2553787715,0.0,0.0,0.0,-347189.3690667677
8,2020-04-08,-364584.1394651844,-942814.8357235767,206613.87180823044,-364584.1394651844,-364584.1394651844,2614.063461229635,2614.063461229635,2614.063461229635,-129116.65511645991,-129116.65511645991,-129116.65511645991,131730.71857768955,131730.71857768955,131730.71857768955,0.0,0.0,0.0,-361970.0760039548
9,2020-04-13,-336045.15212886897,-846896.7571085428,370061.9290149433,-336045.15212886897,-336045.15212886897,111243.91399569699,111243.91399569699,111243.91399569699,-98442.44012309557,-98442.44012309557,-98442.44012309557,209686.35411879257,209686.35411879257,209686.35411879257,0.0,0.0,0.0,-224801.23813317198
