Fecha,SheetName,Moneda,Compra,Venta
27/03/2020,27032020,USD,77698.72684875,77893.4605
30/03/2020,30032020,USD,80069.42245575,80270.0977
31/03/2020,31032020,USD,80743.36018875,80945.7245
01/04/2020,1042020,USD,83167.2797025,83375.719
02/04/2020,2042020,USD,84481.58779725,84693.3211
03/04/2020,3042020,USD,86441.23420275,86657.8789
06/04/2020,6042020,USD,91602.48094725,91832.0611
07/04/2020,7042020,USD,96390.851319,96632.4324
08/04/2020,8042020,USD,100727.679276,100980.1296
13/04/2020,13042020,USD,105641.9274645,105906.6942
14/04/2020,14042020,USD,113549.384277,113833.9692
15/04/2020,15042020,USD,120558.25827675,120860.4093
16/04/2020,16042020,USD,125660.151477,125975.0892
17/04/2020,17042020,USD,125260.097718,125574.0328
20/04/2020,20042020,USD,127724.1698985,128044.2806
21/04/2020,21042020,USD,128770.335729,129093.0684
22/04/2020,22042020,USD,144594.79712475,144957.1901
23/04/2020,23042020,USD,171146.5702275,171575.509
24/04/2020,24042020,USD,170645.167875,171072.85
27/04/2020,27042020,USD,169916.82160425,170342.6783
28/04/2020,28042020,USD,175220.6929935,175659.8426
29/04/2020,29042020,USD,176121.66422025,176563.0719
30/04/2020,30042020,USD,176096.69519925,176538.0403
04/05/2020,4052020,USD,174975.546396,175414.0816
05/05/2020,5052020,USD,171444.860034,171874.5464
06/05/2020,6052020,USD,168940.4776815,169363.8874
07/05/2020,7052020,USD,172520.44363575,172952.8257
08/05/2020,8052020,USD,178571.711451,179019.2596
11/05/2020,11052020,USD,178656.81386175,179104.5753
12/05/2020,12052020,USD,178086.110097,178532.4412
13/05/2020,13052020,USD,178593.74054025,179041.3439
14/05/2020,14052020,USD,181221.6869085,181675.8766
15/05/2020,15052020,USD,182590.678053,183048.2988
18/05/2020,18052020,USD,182879.257197,183337.6012
19/05/2020,19052020,USD,182377.1390385,182834.2246
20/05/2020,20052020,USD,183074.99951475,183533.8341
21/05/2020,21052020,USD,187659.5826315,188129.9074
22/05/2020,22052020,USD,192921.07682925,193404.5883
26/05/2020,26052020,USD,192980.66319,193464.324
27/05/2020,27052020,USD,195559.6322085,196049.7566
28/05/2020,28052020,USD,196721.91731325,197214.9547
29/05/2020,29052020,USD,197615.31422325,198110.5907
01/06/2020,1062020,USD,197300.2553445,197794.7422
02/06/2020,2062020,USD,196696.067001,197189.0396
03/06/2020,3062020,USD,197021.22257475,197515.0101
04/06/2020,4062020,USD,198155.0757375,198651.705
05/06/2020,5062020,USD,198533.35596675,199030.9333
08/06/2020,8062020,USD,197689.640043,198185.1028
09/06/2020,9062020,USD,197398.972533,197893.7068
10/06/2020,10062020,USD,200663.38674375,201166.3025
11/06/2020,11062020,USD,201959.386923,202465.5508
12/06/2020,12062020,USD,202749.36552675,203257.5093
15/06/2020,15062020,USD,202996.44368325,203505.2067
16/06/2020,16062020,USD,203130.544491,203639.6436
17/06/2020,17062020,USD,202949.21405325,203457.8587
18/06/2020,18062020,USD,202375.98571575,202883.1937
19/06/2020,19062020,USD,202331.793972,202838.8912
22/06/2020,22062020,USD,201234.22666725,201738.5731
